,win_amt
1068,2645236.16
1069,3310004.48
1070,2595949.99
1071,4843711.66
1072,5427954.28
1073,4016607.46
1074,7287694.48
1075,7550372.33
1076,1743252.56
1077,3523494.74
1078,1576982.23
1079,8357383.92
1080,3931925.98
1081,1049635.3
1082,1617038.57
1083,5905799.1
1084,1374640.0
1085,219473.36
1086,4186076.22
1087,341835.98
1088,308378.62
1089,1174491.98
1090,830132.45
1091,513970.0
1092,445800.0
1093,463020.0
1094,433000.0
1095,393071.42
1096,643378.0
1097,464563.0
1098,3020324.44
1099,793602.0
1100,1843164.92
1101,1362859.76
1102,2673601.0
1103,587667.25
1104,329950.0
1105,4111599.52
1106,898962.7
1107,294131.0
1108,623817.65
1109,280851.2
1110,636000.0
1111,53390999.88
1112,8690979.58
1113,11368797.76
1114,1885537.1
1115,20587594.96
1116,1182793.98
1117,1810774.89
1118,2447924.56
1119,1048921.12
1120,6613692.24
1121,1185394.6
1122,858712.66
1123,1525326.0
1124,2405351.66
1125,234040.68
1126,1534308.55
1127,1757483.92
1128,338050.0
1129,573001.8
1130,5387885.79
1131,5234742.15
1132,278606.89
1133,2124211.95
1134,783671.49
1135,3160245.06
1136,1821663.85
1137,3288708.72
1138,6559485.05
1139,6632538.46
1140,54568.0
1141,781727.27
1142,2913595.42
1143,482197.48
1144,2307479.2
1145,2687805.15
1146,829774.11
1147,164664.83
1148,1258844.0
1149,2411705.72
1150,1637144.66
1151,2047763.19
1152,3793059.92
1153,2376096.44
1154,845727.71
1155,597597.0
1156,2494814.18
1157,1094325.4
1158,2447523.75
1159,1158086.0
1160,335632.92
1161,294820.39
1162,2096268.37
1163,1647633.4
1164,3522042.98
1165,3673746.04
1166,9267866.66
1167,5713900.34
1168,2093931.75
1169,10873603.31
1170,1408397.94
1171,553358.58
1172,343510.0
1173,648174.36
1174,562947.48
1175,1042370.7
1176,260107.32
1177,309192.71
1178,768536.0
1179,999987.47
1180,450285.36
1181,64660757.43
1182,9572121.03
1183,1477750.03
1184,1198847.28
1185,1469946.0
1186,1297564.52
1187,1023277.64
1188,2395790.47
1189,698267.33
1190,1104702.01
1191,201885.96
1192,1968967.43
1193,61300.14
1194,1191777.34
1195,1521680.37
1196,720812.07
1197,1463551.05
1198,6356006.29
1199,1442157.61
1200,3628777.0
1201,5937214.7
1202,1708497.38
1203,2501081.88
1204,904834.79
1205,1551543.5
1206,1521454.71
1207,497863.8
1208,3399954.24
1209,6021376.81
1210,562884.58
1211,6531381.35
1212,826138.0
1213,235049.18
1214,509224.47
1215,845384.55
1216,18657275.42
1217,18011511.0
1218,12502318.48
1219,11187689.04
1220,2082955.47
1221,841028.2
1222,2029446.31
1223,496651.35
1224,1033599.85
1225,1149721.78
1226,801468.52
1227,2137400.15
1228,3512191.16
1229,258870.0
1230,1280176.58
1231,1230202.68
1232,1029975.87
1233,833389.25
1234,2613600.85
1235,1495895.22
1236,796526.1
1237,746928.46
1238,6333633.62
1239,2226102.0
1240,5675786.99
1241,1063374.41
1242,625529.3
1243,2235382.79
1244,1017875.25
1245,4809678.64
1246,1487306.61
1247,5024304.05
1248,8589407.73
1249,4497505.55
1250,551281.48
1251,827634.4
1252,537053.95
1253,335275.5
1254,857456.5
1255,839543.27
1256,585141.0
1257,935508.5
1258,23483270.27
1259,18747291.34
1260,1024336.5
1261,9587787.65
1262,2069851.67
1263,8261962.0
1264,2203011.05
1265,7416527.17
1266,3593926.0
1267,773075.76
1268,153070.94
1269,1782760.65
1270,11655295.26
1271,1340240.0
1272,4844982.3
1273,7499584.14
1274,539803.0
1275,5092449.92
1276,3144999.25
1277,376569.5
1278,3096310.69
1279,11487769.98
1280,4502728.59
1281,480182.55
1282,3193652.3
1283,877613.8
1284,110817.6
1285,3411242.52
1286,1633755.5
1287,2731400.55
1288,4526012.96
1289,648550.23
1290,385553.0
1291,1927852.05
1292,684000.0
1293,893078.05
1294,827500.0
1295,342755.3
1296,867629.72
1297,32027183.64
1298,18498791.1
1299,20669106.22
1300,8332374.81
1301,265264.9
1302,3919729.02
1303,772705.37
1304,15741046.83
1305,328471.82
1306,810034.93
1307,95022.0
1308,865310.51
1309,11242986.2
1310,1301576.76
1311,1764011.1
1312,4427442.74
1313,856162.88
1314,1784029.22
1315,434443.44
1316,586252.76
1317,1291681.52
1318,1859510.41
1319,3213535.64
1320,4645909.71
1321,1285250.03
1322,151446.5
1323,1147479.65
1324,329780.76
1325,4506272.51
1326,4721563.44
1327,380262.3
1328,3213022.12
1329,1899899.89
1330,2750739.99
1331,726396.37
1332,872260.0
1333,374815.03
1334,768722.0
1335,3057188.3
1336,1376442.25
1337,1063526.99
1338,119776274.2
1339,31638493.38
1340,28593622.7
1341,17450676.08
1342,388000.54
1343,2119421.76
1344,2742753.5
1345,6242606.6
1346,2379000.0
1347,829475.75
1348,5844817.84
1349,1003410.95
1350,2668897.28
1351,1137427.78
1352,877759.58
1353,459534.39
1354,4561840.84
1355,2090427.76
1356,5799223.7
1357,311966.0
1358,2572494.78
1359,2985946.0
1360,2449573.59
1361,8191797.91
1362,2498804.12
1363,1598613.31
1364,9250063.46
1365,6854284.04
1366,338652.07
1367,894985.25
1368,339644.9
1369,539688.9
1370,5046398.12
1371,368395.8
1372,980970.4
1373,1693704.5
1374,330317.61
1375,32207126.84
1376,3745737.67
1377,1709304.36
1378,13995985.02
1379,201835272.6
1380,20285448.77
1381,37950858.38
1382,12773111.87
1383,20817021.42
1384,71614966.82
1385,5704330.28
1386,7394842.34
1387,1149642.65
1388,560740.0
1389,482084.04
1390,5771223.24
1391,316189.28
1392,2899372.26
1393,3191186.43
1394,2950293.01
1395,16887011.55
1396,1132328.53
1397,407844.03
1398,2087956.0
1399,340160.0
1400,1886559.26
1401,1763846.49
1402,237658.0
1403,10321476.86
1404,1310012.92
1405,2986655.2
1406,1084003.29
1407,7489379.23
1408,2082833.99
1409,3210192.04
1410,1139721.42
1411,5012311.15
1412,1889217.8
1413,10632822.07
1414,5220900.06
1415,5833765.35
1416,2389609.45
1417,1244148.05
1418,667334.23
1419,1288000.0
1420,10092335.71
1421,888222.0
1422,3987345.3
1423,1682223.98
